timestamp,participant-id,session-id,source,rr-interval
1473451996.0,8,9,empatica,562.526
1473452808.0,8,9,empatica,812.537
1473453480.0,8,9,empatica,671.906
1473454230.0,8,9,empatica,750.034
1473454933.0,8,9,empatica,703.157
1473455683.0,8,9,empatica,750.034
1473456449.0,8,9,empatica,765.66
1473457262.0,8,9,empatica,812.537
1473458090.0,8,9,empatica,828.163
1473458996.0,8,9,empatica,906.291
1473459918.0,8,9,empatica,921.917
1473460824.0,8,9,empatica,906.291
1473461746.0,8,9,empatica,921.917
1473462637.0,8,9,empatica,890.666
1473463512.0,8,9,empatica,875.04
1473464418.0,8,9,empatica,906.291
1473465293.0,8,9,empatica,875.04
1473476106.0,8,9,empatica,750.034
1473476903.0,8,9,empatica,796.911
1473477700.0,8,9,empatica,796.911
1473488107.0,8,9,empatica,828.163
1473488966.0,8,9,empatica,859.414
1473489841.0,8,9,empatica,875.04
1473490685.0,8,9,empatica,843.789
1473491529.0,8,9,empatica,843.789
1473492373.0,8,9,empatica,843.789
1473493232.0,8,9,empatica,859.414
1473494107.0,8,9,empatica,875.04
1473494873.0,8,9,empatica,765.66
1473495654.0,8,9,empatica,781.286
1473496466.0,8,9,empatica,812.537
1473497342.0,8,9,empatica,875.04
1473498263.0,8,9,empatica,921.917
1473499248.0,8,9,empatica,984.42
1473500107.0,8,9,empatica,859.414
1473500998.0,8,9,empatica,890.666
1473501857.0,8,9,empatica,859.414
1473502732.0,8,9,empatica,875.04
1473503545.0,8,9,empatica,812.537
1473504326.0,8,9,empatica,781.286
1473505108.0,8,9,empatica,781.286
1473505858.0,8,9,empatica,750.034
1473506545.0,8,9,empatica,687.531
1473507248.0,8,9,empatica,703.157
1473507967.0,8,9,empatica,718.783
1473508733.0,8,9,empatica,765.66
1473509576.0,8,9,empatica,843.789
1473510342.0,8,9,empatica,765.66
1473511123.0,8,9,empatica,781.286
1473511905.0,8,9,empatica,781.286
1473512702.0,8,9,empatica,796.911
1473513545.0,8,9,empatica,843.789
1473519530.0,8,9,empatica,765.66
1473520358.0,8,9,empatica,828.163
1473521218.0,8,9,empatica,859.414
1473522030.0,8,9,empatica,812.537
