participant-id,session-id,timestamp,source,temperature
19,07,1472044103.000000,empatica,382.18
19,07,1472044103.250000,empatica,382.18
19,07,1472044103.500000,empatica,382.18
19,07,1472044103.750000,empatica,382.18
19,07,1472044104.000000,empatica,34.75
19,07,1472044104.250000,empatica,34.75
19,07,1472044104.500000,empatica,34.75
19,07,1472044104.750000,empatica,34.75
19,07,1472044105.000000,empatica,34.71
19,07,1472044105.250000,empatica,34.71
19,07,1472044105.500000,empatica,34.71
19,07,1472044105.750000,empatica,34.71
19,07,1472044106.000000,empatica,34.66
19,07,1472044106.250000,empatica,34.66
19,07,1472044106.500000,empatica,34.66
19,07,1472044106.750000,empatica,34.66
19,07,1472044107.000000,empatica,34.66
19,07,1472044107.250000,empatica,34.66
19,07,1472044107.500000,empatica,34.66
19,07,1472044107.750000,empatica,34.66
19,07,1472044108.000000,empatica,34.66
19,07,1472044108.250000,empatica,34.66
19,07,1472044108.500000,empatica,34.66
19,07,1472044108.750000,empatica,34.66
19,07,1472044109.000000,empatica,34.65
19,07,1472044109.250000,empatica,34.65
19,07,1472044109.500000,empatica,34.65
19,07,1472044109.750000,empatica,34.65
19,07,1472044110.000000,empatica,34.65
19,07,1472044110.250000,empatica,34.65
19,07,1472044110.500000,empatica,34.65
19,07,1472044110.750000,empatica,34.65
19,07,1472044111.000000,empatica,34.65
19,07,1472044111.250000,empatica,34.65
19,07,1472044111.500000,empatica,34.65
19,07,1472044111.750000,empatica,34.65
19,07,1472044112.000000,empatica,34.65
19,07,1472044112.250000,empatica,34.65
19,07,1472044112.500000,empatica,34.65
19,07,1472044112.750000,empatica,34.65
19,07,1472044113.000000,empatica,34.65
19,07,1472044113.250000,empatica,34.65
19,07,1472044113.500000,empatica,34.65
19,07,1472044113.750000,empatica,34.65
19,07,1472044114.000000,empatica,34.65
19,07,1472044114.250000,empatica,34.65
19,07,1472044114.500000,empatica,34.65
19,07,1472044114.750000,empatica,34.65
19,07,1472044115.000000,empatica,34.66
19,07,1472044115.250000,empatica,34.66
19,07,1472044115.500000,empatica,34.66
19,07,1472044115.750000,empatica,34.66
19,07,1472044116.000000,empatica,34.66
19,07,1472044116.250000,empatica,34.66
19,07,1472044116.500000,empatica,34.66
19,07,1472044116.750000,empatica,34.66
19,07,1472044117.000000,empatica,34.63
19,07,1472044117.250000,empatica,34.63
19,07,1472044117.500000,empatica,34.63
19,07,1472044117.750000,empatica,34.63
19,07,1472044118.000000,empatica,34.63
19,07,1472044118.250000,empatica,34.63
19,07,1472044118.500000,empatica,34.63
19,07,1472044118.750000,empatica,34.63
19,07,1472044119.000000,empatica,34.63
19,07,1472044119.250000,empatica,34.63
19,07,1472044119.500000,empatica,34.63
19,07,1472044119.750000,empatica,34.63
19,07,1472044120.000000,empatica,34.61
19,07,1472044120.250000,empatica,34.61
19,07,1472044120.500000,empatica,34.61
19,07,1472044120.750000,empatica,34.61
19,07,1472044121.000000,empatica,34.61
19,07,1472044121.250000,empatica,34.61
19,07,1472044121.500000,empatica,34.61
19,07,1472044121.750000,empatica,34.61
19,07,1472044122.000000,empatica,34.61
19,07,1472044122.250000,empatica,34.61
19,07,1472044122.500000,empatica,34.61
19,07,1472044122.750000,empatica,34.61
19,07,1472044123.000000,empatica,34.59
19,07,1472044123.250000,empatica,34.59
19,07,1472044123.500000,empatica,34.59
19,07,1472044123.750000,empatica,34.59
19,07,1472044124.000000,empatica,34.61
19,07,1472044124.250000,empatica,34.61
19,07,1472044124.500000,empatica,34.61
19,07,1472044124.750000,empatica,34.61
19,07,1472044125.000000,empatica,34.61
19,07,1472044125.250000,empatica,34.61
19,07,1472044125.500000,empatica,34.61
19,07,1472044125.750000,empatica,34.61
19,07,1472044126.000000,empatica,34.59
19,07,1472044126.250000,empatica,34.59
19,07,1472044126.500000,empatica,34.59
19,07,1472044126.750000,empatica,34.59
19,07,1472044127.000000,empatica,34.59
19,07,1472044127.250000,empatica,34.59
19,07,1472044127.500000,empatica,34.59
19,07,1472044127.750000,empatica,34.59
19,07,1472044128.000000,empatica,34.59
19,07,1472044128.250000,empatica,34.59
19,07,1472044128.500000,empatica,34.59
19,07,1472044128.750000,empatica,34.59
19,07,1472044129.000000,empatica,34.53
19,07,1472044129.250000,empatica,34.53
19,07,1472044129.500000,empatica,34.53
19,07,1472044129.750000,empatica,34.53
19,07,1472044130.000000,empatica,34.53
19,07,1472044130.250000,empatica,34.53
19,07,1472044130.500000,empatica,34.53
19,07,1472044130.750000,empatica,34.53
19,07,1472044131.000000,empatica,34.55
19,07,1472044131.250000,empatica,34.55
19,07,1472044131.500000,empatica,34.55
19,07,1472044131.750000,empatica,34.55
19,07,1472044132.000000,empatica,34.53
19,07,1472044132.250000,empatica,34.53
19,07,1472044132.500000,empatica,34.53
19,07,1472044132.750000,empatica,34.53
19,07,1472044133.000000,empatica,34.53
19,07,1472044133.250000,empatica,34.53
19,07,1472044133.500000,empatica,34.53
19,07,1472044133.750000,empatica,34.53
19,07,1472044134.000000,empatica,34.53
19,07,1472044134.250000,empatica,34.53
19,07,1472044134.500000,empatica,34.53
19,07,1472044134.750000,empatica,34.53
19,07,1472044135.000000,empatica,34.53
19,07,1472044135.250000,empatica,34.53
19,07,1472044135.500000,empatica,34.53
19,07,1472044135.750000,empatica,34.53
19,07,1472044136.000000,empatica,34.53
19,07,1472044136.250000,empatica,34.53
19,07,1472044136.500000,empatica,34.53
19,07,1472044136.750000,empatica,34.53
19,07,1472044137.000000,empatica,34.50
19,07,1472044137.250000,empatica,34.50
19,07,1472044137.500000,empatica,34.50
19,07,1472044137.750000,empatica,34.50
19,07,1472044138.000000,empatica,34.49
19,07,1472044138.250000,empatica,34.49
19,07,1472044138.500000,empatica,34.49
19,07,1472044138.750000,empatica,34.49
19,07,1472044139.000000,empatica,34.49
19,07,1472044139.250000,empatica,34.49
19,07,1472044139.500000,empatica,34.49
19,07,1472044139.750000,empatica,34.49
19,07,1472044140.000000,empatica,34.49
