timestamp,participant-id,session-id,source,heart-rate
1470771944.0,7,6,empatica,64.0
1470772944.0,7,6,empatica,81.0
1470773944.0,7,6,empatica,82.33
1470774944.0,7,6,empatica,78.75
1470775944.0,7,6,empatica,75.2
1470776944.0,7,6,empatica,79.0
1470777944.0,7,6,empatica,81.86
1470778944.0,7,6,empatica,83.88
1470779944.0,7,6,empatica,85.44
1470780944.0,7,6,empatica,86.4
1470781944.0,7,6,empatica,87.09
1470782944.0,7,6,empatica,88.0
1470783944.0,7,6,empatica,88.46
1470784944.0,7,6,empatica,88.64
1470785944.0,7,6,empatica,89.07
1470786944.0,7,6,empatica,89.25
1470787944.0,7,6,empatica,89.35
1470788944.0,7,6,empatica,89.61
1470789944.0,7,6,empatica,89.11
1470790944.0,7,6,empatica,88.6
1470791944.0,7,6,empatica,88.1
1470792944.0,7,6,empatica,87.68
1470793944.0,7,6,empatica,87.3
1470794944.0,7,6,empatica,86.96
1470795944.0,7,6,empatica,86.84
1470796944.0,7,6,empatica,86.77
1470797944.0,7,6,empatica,86.11
1470798944.0,7,6,empatica,85.5
1470799944.0,7,6,empatica,84.93
1470800944.0,7,6,empatica,84.37
1470801944.0,7,6,empatica,83.81
1470802944.0,7,6,empatica,83.28
1470803944.0,7,6,empatica,82.76
1470804944.0,7,6,empatica,82.26
1470805944.0,7,6,empatica,82.03
1470806944.0,7,6,empatica,81.83
1470807944.0,7,6,empatica,81.65
1470808944.0,7,6,empatica,81.5
1470809944.0,7,6,empatica,81.36
1470810944.0,7,6,empatica,81.35
1470811944.0,7,6,empatica,81.32
1470812944.0,7,6,empatica,81.36
1470813944.0,7,6,empatica,81.26
1470814944.0,7,6,empatica,81.16
1470815944.0,7,6,empatica,81.07
1470816944.0,7,6,empatica,80.85
1470817944.0,7,6,empatica,80.66
1470818944.0,7,6,empatica,80.48
1470819944.0,7,6,empatica,80.29
1470820944.0,7,6,empatica,80.1
1470821944.0,7,6,empatica,79.92
1470822944.0,7,6,empatica,79.71
1470823944.0,7,6,empatica,79.51
1470824944.0,7,6,empatica,79.3
1470825944.0,7,6,empatica,79.09
1470826944.0,7,6,empatica,78.88
1470827944.0,7,6,empatica,78.67
1470828944.0,7,6,empatica,78.47
1470829944.0,7,6,empatica,78.25
1470830944.0,7,6,empatica,78.05
1470831944.0,7,6,empatica,78.1
1470832944.0,7,6,empatica,77.58
1470833944.0,7,6,empatica,77.27
1470834944.0,7,6,empatica,77.23
1470835944.0,7,6,empatica,77.33
1470836944.0,7,6,empatica,76.82
1470837944.0,7,6,empatica,76.28
1470838944.0,7,6,empatica,75.77
1470839944.0,7,6,empatica,75.25
1470840944.0,7,6,empatica,74.78
1470841944.0,7,6,empatica,74.32
1470842944.0,7,6,empatica,73.78
1470843944.0,7,6,empatica,73.3
1470844944.0,7,6,empatica,72.87
1470845944.0,7,6,empatica,72.37
1470846944.0,7,6,empatica,71.92
1470847944.0,7,6,empatica,71.5
1470848944.0,7,6,empatica,71.03
1470849944.0,7,6,empatica,70.8
1470850944.0,7,6,empatica,70.6
1470851944.0,7,6,empatica,70.43
1470852944.0,7,6,empatica,70.25
1470853944.0,7,6,empatica,70.08
1470854944.0,7,6,empatica,69.92
1470855944.0,7,6,empatica,69.67
1470856944.0,7,6,empatica,69.4
1470857944.0,7,6,empatica,69.4
1470858944.0,7,6,empatica,69.4
1470859944.0,7,6,empatica,69.38
1470860944.0,7,6,empatica,69.38
1470861944.0,7,6,empatica,69.42
1470862944.0,7,6,empatica,69.45
1470863944.0,7,6,empatica,69.5
1470864944.0,7,6,empatica,69.57
1470865944.0,7,6,empatica,69.52
1470866944.0,7,6,empatica,69.47
1470867944.0,7,6,empatica,69.42
1470868944.0,7,6,empatica,69.37
1470869944.0,7,6,empatica,69.32
1470870944.0,7,6,empatica,69.2
1470871944.0,7,6,empatica,69.1
1470872944.0,7,6,empatica,68.95
1470873944.0,7,6,empatica,68.88
1470874944.0,7,6,empatica,68.83
1470875944.0,7,6,empatica,68.78
1470876944.0,7,6,empatica,68.83
1470877944.0,7,6,empatica,68.88
1470878944.0,7,6,empatica,68.93
1470879944.0,7,6,empatica,69.02
1470880944.0,7,6,empatica,69.1
1470881944.0,7,6,empatica,69.18
1470882944.0,7,6,empatica,69.3
1470883944.0,7,6,empatica,69.38
1470884944.0,7,6,empatica,69.47
1470885944.0,7,6,empatica,69.53
1470886944.0,7,6,empatica,69.63
1470887944.0,7,6,empatica,69.73
1470888944.0,7,6,empatica,69.82
1470889944.0,7,6,empatica,69.92
1470890944.0,7,6,empatica,70.0
1470891944.0,7,6,empatica,70.05
1470892944.0,7,6,empatica,70.08
1470893944.0,7,6,empatica,70.12
1470894944.0,7,6,empatica,70.13
1470895944.0,7,6,empatica,70.13
1470896944.0,7,6,empatica,70.12
1470897944.0,7,6,empatica,70.08
1470898944.0,7,6,empatica,70.2
1470899944.0,7,6,empatica,70.32
1470900944.0,7,6,empatica,70.45
1470901944.0,7,6,empatica,70.65
1470902944.0,7,6,empatica,70.87
1470903944.0,7,6,empatica,71.18
1470904944.0,7,6,empatica,71.53
1470905944.0,7,6,empatica,71.9
1470906944.0,7,6,empatica,72.2
1470907944.0,7,6,empatica,72.48
1470908944.0,7,6,empatica,72.83
