timestamp,participant-id,session-id,source,rr-interval
1469618753.0,9,10,empatica,671.906
1469619394.0,9,10,empatica,640.654
1469620066.0,9,10,empatica,671.906
1469620737.0,9,10,empatica,671.906
1469621378.0,9,10,empatica,640.654
1469622050.0,9,10,empatica,671.906
1469622722.0,9,10,empatica,671.906
1469623441.0,9,10,empatica,718.783
1469640832.0,9,10,empatica,718.783
1469641582.0,9,10,empatica,750.034
1469642332.0,9,10,empatica,750.034
1469643129.0,9,10,empatica,796.911
1469643895.0,9,10,empatica,765.66
1469644660.0,9,10,empatica,765.66
1469645504.0,9,10,empatica,843.789
1469646270.0,9,10,empatica,765.66
1469647020.0,9,10,empatica,750.034
1469647739.0,9,10,empatica,718.783
1469648426.0,9,10,empatica,687.531
1469649114.0,9,10,empatica,687.531
1469649864.0,9,10,empatica,750.034
1469650645.0,9,10,empatica,781.286
1469651364.0,9,10,empatica,718.783
1469652098.0,9,10,empatica,734.409
1469652833.0,9,10,empatica,734.409
1469653536.0,9,10,empatica,703.157
1469654286.0,9,10,empatica,750.034
1469655005.0,9,10,empatica,718.783
1469655739.0,9,10,empatica,734.409
1469656458.0,9,10,empatica,718.783
1469657177.0,9,10,empatica,718.783
1469657895.0,9,10,empatica,718.783
1469658583.0,9,10,empatica,687.531
1469659270.0,9,10,empatica,687.531
1469660036.0,9,10,empatica,765.66
1469660771.0,9,10,empatica,734.409
1469661583.0,9,10,empatica,812.537
1469662396.0,9,10,empatica,812.537
1469669412.0,9,10,empatica,765.66
1469670208.0,9,10,empatica,796.911
1469670959.0,9,10,empatica,750.034
1469671755.0,9,10,empatica,796.911
1469672552.0,9,10,empatica,796.911
1469673271.0,9,10,empatica,718.783
1469674021.0,9,10,empatica,750.034
1469674802.0,9,10,empatica,781.286
1469692131.0,9,10,empatica,765.66
1469692897.0,9,10,empatica,765.66
1469702241.0,9,10,empatica,750.034
1469703022.0,9,10,empatica,781.286
1469716242.0,9,10,empatica,734.409
1469716992.0,9,10,empatica,750.034
1469717648.0,9,10,empatica,656.28
1469718398.0,9,10,empatica,750.034
1469719117.0,9,10,empatica,718.783
1469719914.0,9,10,empatica,796.911
1469720680.0,9,10,empatica,765.66
1469721398.0,9,10,empatica,718.783
1469722226.0,9,10,empatica,828.163
1469722977.0,9,10,empatica,750.034
1469723727.0,9,10,empatica,750.034
1469724508.0,9,10,empatica,781.286
1469725258.0,9,10,empatica,750.034
1469726024.0,9,10,empatica,765.66
1469726820.0,9,10,empatica,796.911
1469727617.0,9,10,empatica,796.911
1469728352.0,9,10,empatica,734.409
1469729117.0,9,10,empatica,765.66
1469729883.0,9,10,empatica,765.66
1469730571.0,9,10,empatica,687.531
1469731352.0,9,10,empatica,781.286
1469732133.0,9,10,empatica,781.286
