participant-id,session-id,timestamp,source,heart-rate
13,02,1470847121.0,empatica,85.00
13,02,1470847122.0,empatica,84.00
13,02,1470847123.0,empatica,76.67
13,02,1470847124.0,empatica,73.25
13,02,1470847125.0,empatica,71.60
13,02,1470847126.0,empatica,71.00
13,02,1470847127.0,empatica,70.71
13,02,1470847128.0,empatica,70.50
13,02,1470847129.0,empatica,70.22
13,02,1470847130.0,empatica,70.00
13,02,1470847131.0,empatica,69.73
13,02,1470847132.0,empatica,69.50
13,02,1470847133.0,empatica,69.31
13,02,1470847134.0,empatica,69.07
13,02,1470847135.0,empatica,68.93
13,02,1470847136.0,empatica,68.81
13,02,1470847137.0,empatica,68.71
13,02,1470847138.0,empatica,68.67
13,02,1470847139.0,empatica,68.63
13,02,1470847140.0,empatica,68.60
13,02,1470847141.0,empatica,68.57
13,02,1470847142.0,empatica,68.55
13,02,1470847143.0,empatica,68.48
13,02,1470847144.0,empatica,68.42
13,02,1470847145.0,empatica,68.36
13,02,1470847146.0,empatica,68.31
13,02,1470847147.0,empatica,68.30
13,02,1470847148.0,empatica,68.32
13,02,1470847149.0,empatica,68.34
13,02,1470847150.0,empatica,68.37
13,02,1470847151.0,empatica,68.42
13,02,1470847152.0,empatica,68.50
13,02,1470847153.0,empatica,68.55
13,02,1470847154.0,empatica,68.62
13,02,1470847155.0,empatica,68.69
13,02,1470847156.0,empatica,68.75
13,02,1470847157.0,empatica,68.81
13,02,1470847158.0,empatica,68.89
13,02,1470847159.0,empatica,68.97
13,02,1470847160.0,empatica,69.05
13,02,1470847161.0,empatica,69.20
13,02,1470847162.0,empatica,69.33
13,02,1470847163.0,empatica,69.49
13,02,1470847164.0,empatica,69.66
13,02,1470847165.0,empatica,69.82
13,02,1470847166.0,empatica,69.98
13,02,1470847167.0,empatica,70.09
13,02,1470847168.0,empatica,70.10
13,02,1470847169.0,empatica,70.14
13,02,1470847170.0,empatica,70.16
13,02,1470847171.0,empatica,70.14
13,02,1470847172.0,empatica,70.13
13,02,1470847173.0,empatica,70.13
13,02,1470847174.0,empatica,70.13
13,02,1470847175.0,empatica,70.13
13,02,1470847176.0,empatica,70.12
13,02,1470847177.0,empatica,70.14
13,02,1470847178.0,empatica,70.16
13,02,1470847179.0,empatica,70.19
13,02,1470847180.0,empatica,70.22
13,02,1470847181.0,empatica,69.98
13,02,1470847182.0,empatica,69.78
13,02,1470847183.0,empatica,69.92
13,02,1470847184.0,empatica,69.98
13,02,1470847185.0,empatica,69.93
13,02,1470847186.0,empatica,69.87
13,02,1470847187.0,empatica,69.92
13,02,1470847188.0,empatica,70.18
13,02,1470847189.0,empatica,70.37
13,02,1470847190.0,empatica,70.57
13,02,1470847191.0,empatica,70.68
13,02,1470847192.0,empatica,70.87
13,02,1470847193.0,empatica,71.08
13,02,1470847194.0,empatica,71.35
13,02,1470847195.0,empatica,71.67
13,02,1470847196.0,empatica,72.03
13,02,1470847197.0,empatica,72.32
13,02,1470847198.0,empatica,72.57
13,02,1470847199.0,empatica,72.88
13,02,1470847200.0,empatica,73.13
13,02,1470847201.0,empatica,73.35
13,02,1470847202.0,empatica,73.62
13,02,1470847203.0,empatica,73.63
13,02,1470847204.0,empatica,73.55
13,02,1470847205.0,empatica,73.47
13,02,1470847206.0,empatica,73.37
13,02,1470847207.0,empatica,73.25
13,02,1470847208.0,empatica,73.13
13,02,1470847209.0,empatica,73.02
13,02,1470847210.0,empatica,72.90
13,02,1470847211.0,empatica,72.77
13,02,1470847212.0,empatica,72.62
13,02,1470847213.0,empatica,72.48
13,02,1470847214.0,empatica,72.33
13,02,1470847215.0,empatica,72.18
13,02,1470847216.0,empatica,72.03
13,02,1470847217.0,empatica,71.88
13,02,1470847218.0,empatica,71.70
13,02,1470847219.0,empatica,71.52
13,02,1470847220.0,empatica,71.33
13,02,1470847221.0,empatica,71.10
13,02,1470847222.0,empatica,70.88
13,02,1470847223.0,empatica,70.67
13,02,1470847224.0,empatica,70.42
13,02,1470847225.0,empatica,70.18
13,02,1470847226.0,empatica,69.95
13,02,1470847227.0,empatica,69.75
13,02,1470847228.0,empatica,69.62
13,02,1470847229.0,empatica,69.45
13,02,1470847230.0,empatica,69.30
13,02,1470847231.0,empatica,69.17
13,02,1470847232.0,empatica,69.00
13,02,1470847233.0,empatica,68.80
13,02,1470847234.0,empatica,68.60
13,02,1470847235.0,empatica,68.40
13,02,1470847236.0,empatica,68.20
13,02,1470847237.0,empatica,67.98
13,02,1470847238.0,empatica,67.77
13,02,1470847239.0,empatica,67.55
13,02,1470847240.0,empatica,67.33
13,02,1470847241.0,empatica,67.15
13,02,1470847242.0,empatica,66.98
13,02,1470847243.0,empatica,66.83
13,02,1470847244.0,empatica,66.73
13,02,1470847245.0,empatica,66.73
13,02,1470847246.0,empatica,66.70
13,02,1470847247.0,empatica,66.55
13,02,1470847248.0,empatica,66.18
13,02,1470847249.0,empatica,65.92
13,02,1470847250.0,empatica,65.65
13,02,1470847251.0,empatica,65.48
13,02,1470847252.0,empatica,65.27
