participant-id,session-id,timestamp,source,heart-rate
11,01,1469477626.0,empatica,69.00
11,01,1469477627.0,empatica,70.00
11,01,1469477628.0,empatica,70.00
11,01,1469477629.0,empatica,70.50
11,01,1469477630.0,empatica,71.40
11,01,1469477631.0,empatica,69.17
11,01,1469477632.0,empatica,67.86
11,01,1469477633.0,empatica,66.12
11,01,1469477634.0,empatica,64.78
11,01,1469477635.0,empatica,64.00
11,01,1469477636.0,empatica,63.27
11,01,1469477637.0,empatica,62.75
11,01,1469477638.0,empatica,62.31
11,01,1469477639.0,empatica,61.86
11,01,1469477640.0,empatica,61.53
11,01,1469477641.0,empatica,61.25
11,01,1469477642.0,empatica,61.35
11,01,1469477643.0,empatica,61.56
11,01,1469477644.0,empatica,61.84
11,01,1469477645.0,empatica,62.55
11,01,1469477646.0,empatica,63.29
11,01,1469477647.0,empatica,64.05
11,01,1469477648.0,empatica,64.74
11,01,1469477649.0,empatica,65.38
11,01,1469477650.0,empatica,66.00
11,01,1469477651.0,empatica,66.58
11,01,1469477652.0,empatica,67.11
11,01,1469477653.0,empatica,67.61
11,01,1469477654.0,empatica,68.03
11,01,1469477655.0,empatica,68.43
11,01,1469477656.0,empatica,68.81
11,01,1469477657.0,empatica,69.16
11,01,1469477658.0,empatica,69.48
11,01,1469477659.0,empatica,69.76
11,01,1469477660.0,empatica,70.00
11,01,1469477661.0,empatica,70.22
11,01,1469477662.0,empatica,70.46
11,01,1469477663.0,empatica,70.68
11,01,1469477664.0,empatica,70.92
11,01,1469477665.0,empatica,71.15
11,01,1469477666.0,empatica,71.37
11,01,1469477667.0,empatica,71.57
11,01,1469477668.0,empatica,71.79
11,01,1469477669.0,empatica,72.00
11,01,1469477670.0,empatica,72.20
11,01,1469477671.0,empatica,72.39
11,01,1469477672.0,empatica,72.57
11,01,1469477673.0,empatica,72.75
11,01,1469477674.0,empatica,72.92
11,01,1469477675.0,empatica,73.10
11,01,1469477676.0,empatica,73.27
11,01,1469477677.0,empatica,73.42
11,01,1469477678.0,empatica,73.57
11,01,1469477679.0,empatica,73.69
11,01,1469477680.0,empatica,73.80
11,01,1469477681.0,empatica,73.89
11,01,1469477682.0,empatica,74.00
11,01,1469477683.0,empatica,74.09
11,01,1469477684.0,empatica,74.17
11,01,1469477685.0,empatica,74.25
11,01,1469477686.0,empatica,74.40
11,01,1469477687.0,empatica,74.52
11,01,1469477688.0,empatica,74.63
11,01,1469477689.0,empatica,74.73
11,01,1469477690.0,empatica,74.78
11,01,1469477691.0,empatica,75.10
11,01,1469477692.0,empatica,75.38
11,01,1469477693.0,empatica,75.75
11,01,1469477694.0,empatica,76.12
11,01,1469477695.0,empatica,76.43
11,01,1469477696.0,empatica,76.77
11,01,1469477697.0,empatica,77.08
11,01,1469477698.0,empatica,77.38
11,01,1469477699.0,empatica,77.65
11,01,1469477700.0,empatica,77.90
11,01,1469477701.0,empatica,78.13
11,01,1469477702.0,empatica,78.28
11,01,1469477703.0,empatica,78.42
11,01,1469477704.0,empatica,78.52
11,01,1469477705.0,empatica,78.47
11,01,1469477706.0,empatica,78.38
11,01,1469477707.0,empatica,78.27
11,01,1469477708.0,empatica,78.17
11,01,1469477709.0,empatica,78.08
11,01,1469477710.0,empatica,77.98
11,01,1469477711.0,empatica,77.87
11,01,1469477712.0,empatica,77.73
11,01,1469477713.0,empatica,77.60
11,01,1469477714.0,empatica,77.48
11,01,1469477715.0,empatica,77.35
11,01,1469477716.0,empatica,77.20
11,01,1469477717.0,empatica,77.07
11,01,1469477718.0,empatica,76.92
11,01,1469477719.0,empatica,76.80
11,01,1469477720.0,empatica,76.72
11,01,1469477721.0,empatica,76.65
11,01,1469477722.0,empatica,76.57
11,01,1469477723.0,empatica,76.50
11,01,1469477724.0,empatica,76.43
11,01,1469477725.0,empatica,76.38
11,01,1469477726.0,empatica,76.33
11,01,1469477727.0,empatica,76.28
11,01,1469477728.0,empatica,76.20
11,01,1469477729.0,empatica,76.10
11,01,1469477730.0,empatica,76.00
11,01,1469477731.0,empatica,75.88
11,01,1469477732.0,empatica,75.77
11,01,1469477733.0,empatica,75.62
11,01,1469477734.0,empatica,75.45
11,01,1469477735.0,empatica,75.25
11,01,1469477736.0,empatica,75.02
11,01,1469477737.0,empatica,74.80
11,01,1469477738.0,empatica,74.58
11,01,1469477739.0,empatica,74.40
11,01,1469477740.0,empatica,74.22
11,01,1469477741.0,empatica,74.05
11,01,1469477742.0,empatica,73.87
11,01,1469477743.0,empatica,73.70
11,01,1469477744.0,empatica,73.53
11,01,1469477745.0,empatica,73.38
11,01,1469477746.0,empatica,73.27
11,01,1469477747.0,empatica,73.13
11,01,1469477748.0,empatica,73.02
11,01,1469477749.0,empatica,72.88
11,01,1469477750.0,empatica,72.77
11,01,1469477751.0,empatica,72.65
11,01,1469477752.0,empatica,72.57
11,01,1469477753.0,empatica,72.52
11,01,1469477754.0,empatica,72.47
11,01,1469477755.0,empatica,72.42
11,01,1469477756.0,empatica,72.38
11,01,1469477757.0,empatica,72.37
11,01,1469477758.0,empatica,72.37
11,01,1469477759.0,empatica,72.42
11,01,1469477760.0,empatica,72.47
11,01,1469477761.0,empatica,72.53
11,01,1469477762.0,empatica,72.58
11,01,1469477763.0,empatica,72.62
11,01,1469477764.0,empatica,72.63
11,01,1469477765.0,empatica,72.62
11,01,1469477766.0,empatica,72.60
11,01,1469477767.0,empatica,72.58
11,01,1469477768.0,empatica,72.55
11,01,1469477769.0,empatica,72.48
11,01,1469477770.0,empatica,72.40
11,01,1469477771.0,empatica,72.33
11,01,1469477772.0,empatica,72.28
11,01,1469477773.0,empatica,72.25
11,01,1469477774.0,empatica,72.22
11,01,1469477775.0,empatica,72.20
11,01,1469477776.0,empatica,72.18
11,01,1469477777.0,empatica,72.15
11,01,1469477778.0,empatica,72.13
11,01,1469477779.0,empatica,72.12
11,01,1469477780.0,empatica,72.08
11,01,1469477781.0,empatica,72.03
11,01,1469477782.0,empatica,71.97
11,01,1469477783.0,empatica,71.88
11,01,1469477784.0,empatica,71.78
11,01,1469477785.0,empatica,71.67
11,01,1469477786.0,empatica,71.57
11,01,1469477787.0,empatica,71.47
11,01,1469477788.0,empatica,71.37
11,01,1469477789.0,empatica,71.30
11,01,1469477790.0,empatica,71.23
11,01,1469477791.0,empatica,71.18
11,01,1469477792.0,empatica,71.15
11,01,1469477793.0,empatica,71.13
11,01,1469477794.0,empatica,71.13
11,01,1469477795.0,empatica,71.15
