participant-id,session-id,timestamp,source,inter-beat-interval
19,03,1468513736.189294,empatica,0.640654
19,03,1468513736.892451,empatica,0.703157
19,03,1468513737.533105,empatica,0.640654
19,03,1468513754.299498,empatica,0.625029
19,03,1468513754.955778,empatica,0.656280
19,03,1468513755.658935,empatica,0.703157
19,03,1468513784.160240,empatica,0.765660
19,03,1468513804.958067,empatica,0.671906
19,03,1468513805.551844,empatica,0.593777
19,03,1468513806.208124,empatica,0.656280
19,03,1468513806.833153,empatica,0.625029
19,03,1468513807.426930,empatica,0.593777
19,03,1468513831.162391,empatica,0.625029
19,03,1468513831.834297,empatica,0.671906
19,03,1468513832.521828,empatica,0.687531
19,03,1468513833.256237,empatica,0.734409
19,03,1468513833.943769,empatica,0.687531
19,03,1468513834.646926,empatica,0.703157
19,03,1468513835.350083,empatica,0.703157
19,03,1468513841.053469,empatica,0.765660
19,03,1468513841.881632,empatica,0.828163
19,03,1468513842.725420,empatica,0.843789
19,03,1468513843.584835,empatica,0.859414
19,03,1468513844.397372,empatica,0.812537
19,03,1468513845.225535,empatica,0.828163
19,03,1468513846.022446,empatica,0.796911
19,03,1468513846.819358,empatica,0.796911
19,03,1468513847.522515,empatica,0.703157
19,03,1468513848.225672,empatica,0.703157
19,03,1468513848.975707,empatica,0.750034
19,03,1468513849.772618,empatica,0.796911
19,03,1468513850.507027,empatica,0.734409
19,03,1468513851.335190,empatica,0.828163
19,03,1468513852.085224,empatica,0.750034
19,03,1468513852.882135,empatica,0.796911
19,03,1468513853.710298,empatica,0.828163
19,03,1468513854.522835,empatica,0.812537
19,03,1468513855.288496,empatica,0.765660
19,03,1468513856.054156,empatica,0.765660
19,03,1468513856.757313,empatica,0.703157
19,03,1468513857.413593,empatica,0.656280
19,03,1468513858.069873,empatica,0.656280
19,03,1468513858.710527,empatica,0.640654
19,03,1468513859.398059,empatica,0.687531
19,03,1468513860.116842,empatica,0.718783
19,03,1468513860.851250,empatica,0.734409
19,03,1468513861.554407,empatica,0.703157
19,03,1468513862.288816,empatica,0.734409
19,03,1468513863.038850,empatica,0.750034
19,03,1468513863.820136,empatica,0.781286
19,03,1468513864.601422,empatica,0.781286
19,03,1468513865.351456,empatica,0.750034
19,03,1468513866.085865,empatica,0.734409
19,03,1468513866.804648,empatica,0.718783
19,03,1468513867.554682,empatica,0.750034
19,03,1468513870.914211,empatica,0.750034
19,03,1468513871.726748,empatica,0.812537
19,03,1468513872.617414,empatica,0.890666
19,03,1468513873.398700,empatica,0.781286
19,03,1468513874.211237,empatica,0.812537
19,03,1468513875.023774,empatica,0.812537
19,03,1468513875.758183,empatica,0.734409
19,03,1468513876.492591,empatica,0.734409
19,03,1468513877.258251,empatica,0.765660
19,03,1468513878.086414,empatica,0.828163
19,03,1468513883.274152,empatica,0.734409
19,03,1468513883.977309,empatica,0.703157
19,03,1468513884.649215,empatica,0.671906
19,03,1468513885.321120,empatica,0.671906
19,03,1468513886.024277,empatica,0.703157
19,03,1468513886.711809,empatica,0.687531
19,03,1468513900.181175,empatica,0.750034
19,03,1468513900.868707,empatica,0.687531
19,03,1468513901.603116,empatica,0.734409
19,03,1468513902.415653,empatica,0.812537
19,03,1468513903.181313,empatica,0.765660
19,03,1468513903.931347,empatica,0.750034
19,03,1468513904.697007,empatica,0.765660
19,03,1468513905.478293,empatica,0.781286
19,03,1468513906.259579,empatica,0.781286
19,03,1468513907.009613,empatica,0.750034
19,03,1468513907.744022,empatica,0.734409
19,03,1468513908.478430,empatica,0.734409
19,03,1468513909.228465,empatica,0.750034
19,03,1468513909.978499,empatica,0.750034
19,03,1468513910.744159,empatica,0.765660
19,03,1468513911.462942,empatica,0.718783
19,03,1468513912.197351,empatica,0.734409
19,03,1468513912.994262,empatica,0.796911
19,03,1468513913.791173,empatica,0.796911
19,03,1468513914.588085,empatica,0.796911
19,03,1468513915.369371,empatica,0.781286
19,03,1468513916.197534,empatica,0.828163
19,03,1468513917.010071,empatica,0.812537
19,03,1468513917.744479,empatica,0.734409
19,03,1468513918.510139,empatica,0.765660
19,03,1468513919.260174,empatica,0.750034
19,03,1468513919.932080,empatica,0.671906
19,03,1468513920.650862,empatica,0.718783
19,03,1468513921.369645,empatica,0.718783
19,03,1468513922.041551,empatica,0.671906
19,03,1468513922.729083,empatica,0.687531
19,03,1468513923.432240,empatica,0.703157
19,03,1468513924.213526,empatica,0.781286
19,03,1468513925.072940,empatica,0.859414
19,03,1468513925.885477,empatica,0.812537
19,03,1468513926.744891,empatica,0.859414
19,03,1468513927.619931,empatica,0.875040
19,03,1468513928.494972,empatica,0.875040
19,03,1468513929.338760,empatica,0.843789
19,03,1468513930.182549,empatica,0.843789
19,03,1468513930.995086,empatica,0.812537
19,03,1468513931.760746,empatica,0.765660
19,03,1468513932.526406,empatica,0.765660
19,03,1468513943.433155,empatica,0.718783
19,03,1468513944.073810,empatica,0.640654
19,03,1468513944.761341,empatica,0.687531
19,03,1468513945.448873,empatica,0.687531
19,03,1468513946.120778,empatica,0.671906
19,03,1468513946.808310,empatica,0.687531
19,03,1468513947.480216,empatica,0.671906
19,03,1468513948.183373,empatica,0.703157
19,03,1468513948.933407,empatica,0.750034
19,03,1468513949.652190,empatica,0.718783
19,03,1468513950.339721,empatica,0.687531
19,03,1468513951.042879,empatica,0.703157
19,03,1468513951.761662,empatica,0.718783
19,03,1468513952.511696,empatica,0.750034
19,03,1468513953.292982,empatica,0.781286
19,03,1468513954.089893,empatica,0.796911
19,03,1468513954.902430,empatica,0.812537
19,03,1468513955.746219,empatica,0.843789
19,03,1468513956.605633,empatica,0.859414
19,03,1468513957.433796,empatica,0.828163
19,03,1468513958.277585,empatica,0.843789
19,03,1468513959.105748,empatica,0.828163
19,03,1468513959.933911,empatica,0.828163
19,03,1468513960.715196,empatica,0.781286
19,03,1468513961.543359,empatica,0.828163
19,03,1468513962.293394,empatica,0.750034
19,03,1468513962.996551,empatica,0.703157
19,03,1468513963.746585,empatica,0.750034
19,03,1468513964.559122,empatica,0.812537
19,03,1468513965.465414,empatica,0.906291
19,03,1468513966.402957,empatica,0.937543
19,03,1468513967.340500,empatica,0.937543
19,03,1468513968.309294,empatica,0.968794
19,03,1468513969.215585,empatica,0.906291
19,03,1468513970.075000,empatica,0.859414
19,03,1468513970.903163,empatica,0.828163
19,03,1468513975.200234,empatica,0.953169
19,03,1468513976.059649,empatica,0.859414
19,03,1468513976.934689,empatica,0.875040
19,03,1468513977.840980,empatica,0.906291
19,03,1468513978.731646,empatica,0.890666
19,03,1468513979.559809,empatica,0.828163
19,03,1468513980.356720,empatica,0.796911
19,03,1468513981.216135,empatica,0.859414
19,03,1468513982.106801,empatica,0.890666
19,03,1468513983.013092,empatica,0.906291
19,03,1468513983.825629,empatica,0.812537
19,03,1468513984.716295,empatica,0.890666
19,03,1468513985.466329,empatica,0.750034
19,03,1468513986.278867,empatica,0.812537
19,03,1468513987.075778,empatica,0.796911
19,03,1468513987.825812,empatica,0.750034
19,03,1468513988.575847,empatica,0.750034
19,03,1468513989.310255,empatica,0.734409
19,03,1468513990.122792,empatica,0.812537
19,03,1468513990.966581,empatica,0.843789
19,03,1468513991.825995,empatica,0.859414
19,03,1468513992.638533,empatica,0.812537
19,03,1468513993.435444,empatica,0.796911
19,03,1468513994.138601,empatica,0.703157
19,03,1468513994.888636,empatica,0.750034
19,03,1468513995.669921,empatica,0.781286
19,03,1468513996.435581,empatica,0.765660
19,03,1468513997.185616,empatica,0.750034
19,03,1468513997.888773,empatica,0.703157
19,03,1468513998.638807,empatica,0.750034
19,03,1468513999.404467,empatica,0.765660
19,03,1468514000.217005,empatica,0.812537
19,03,1468514001.045167,empatica,0.828163
19,03,1468514001.873330,empatica,0.828163
19,03,1468514002.670242,empatica,0.796911
19,03,1468514003.404650,empatica,0.734409
19,03,1468514004.154685,empatica,0.750034
19,03,1468514004.873468,empatica,0.718783
19,03,1468514005.592251,empatica,0.718783
19,03,1468514006.311033,empatica,0.718783
19,03,1468514006.998565,empatica,0.687531
19,03,1468514007.717348,empatica,0.718783
19,03,1468514008.514259,empatica,0.796911
19,03,1468514009.389299,empatica,0.875040
19,03,1468514010.326842,empatica,0.937543
19,03,1468514011.233134,empatica,0.906291
19,03,1468514012.108174,empatica,0.875040
19,03,1468514012.920711,empatica,0.812537
19,03,1468514013.733248,empatica,0.812537
19,03,1468514020.983580,empatica,0.796911
19,03,1468514021.796117,empatica,0.812537
19,03,1468514022.546152,empatica,0.750034
19,03,1468514029.593349,empatica,0.703157
19,03,1468514030.249629,empatica,0.656280
19,03,1468514030.968412,empatica,0.718783
19,03,1468514031.702821,empatica,0.734409
19,03,1468514032.405978,empatica,0.703157
19,03,1468514033.077884,empatica,0.671906
19,03,1468514033.749789,empatica,0.671906
19,03,1468514034.406070,empatica,0.656280
19,03,1468514035.031098,empatica,0.625029
19,03,1468514035.718630,empatica,0.687531
19,03,1468514036.453038,empatica,0.734409
19,03,1468514037.234324,empatica,0.781286
19,03,1468514038.031235,empatica,0.796911
19,03,1468514038.781270,empatica,0.750034
19,03,1468514039.578181,empatica,0.796911
19,03,1468514040.375093,empatica,0.796911
19,03,1468514041.203256,empatica,0.828163
19,03,1468514041.968916,empatica,0.765660
19,03,1468514042.687699,empatica,0.718783
19,03,1468514043.422107,empatica,0.734409
19,03,1468514044.172142,empatica,0.750034
19,03,1468514044.922176,empatica,0.750034
19,03,1468514045.656585,empatica,0.734409
19,03,1468514046.375367,empatica,0.718783
19,03,1468514047.078525,empatica,0.703157
19,03,1468514047.734805,empatica,0.656280
19,03,1468514048.453588,empatica,0.718783
19,03,1468514049.297376,empatica,0.843789
19,03,1468514050.156790,empatica,0.859414
19,03,1468514051.031831,empatica,0.875040
19,03,1468514051.875619,empatica,0.843789
19,03,1468514052.656905,empatica,0.781286
19,03,1468514053.422565,empatica,0.765660
19,03,1468514054.110096,empatica,0.687531
19,03,1468514054.750751,empatica,0.640654
19,03,1468514055.407031,empatica,0.656280
19,03,1468514056.047685,empatica,0.640654
19,03,1468514056.735217,empatica,0.687531
19,03,1468514057.547754,empatica,0.812537
19,03,1468514058.422794,empatica,0.875040
19,03,1468514059.313460,empatica,0.890666
19,03,1468514060.204125,empatica,0.890666
19,03,1468514061.063540,empatica,0.859414
19,03,1468514061.907328,empatica,0.843789
19,03,1468514062.719866,empatica,0.812537
19,03,1468514063.469900,empatica,0.750034
19,03,1468514064.157431,empatica,0.687531
19,03,1468514064.923091,empatica,0.765660
19,03,1468514065.704377,empatica,0.781286
19,03,1468514066.626294,empatica,0.921917
19,03,1468514067.563837,empatica,0.937543
19,03,1468514068.501380,empatica,0.937543
19,03,1468514069.407672,empatica,0.906291
19,03,1468514070.298337,empatica,0.890666
19,03,1468514071.157752,empatica,0.859414
19,03,1468514072.048418,empatica,0.890666
19,03,1468514072.860955,empatica,0.812537
19,03,1468514073.626615,empatica,0.765660
19,03,1468514074.345398,empatica,0.718783
19,03,1468514075.111058,empatica,0.765660
19,03,1468514075.939221,empatica,0.828163
19,03,1468514076.814261,empatica,0.875040
19,03,1468514089.596096,empatica,0.703157
19,03,1468514090.330504,empatica,0.734409
19,03,1468514091.064913,empatica,0.734409
19,03,1468514091.799322,empatica,0.734409
19,03,1468514092.471227,empatica,0.671906
19,03,1468514093.143133,empatica,0.671906
19,03,1468514093.830665,empatica,0.687531
19,03,1468514094.565073,empatica,0.734409
19,03,1468514095.315108,empatica,0.750034
19,03,1468514096.096393,empatica,0.781286
19,03,1468514096.908931,empatica,0.812537
19,03,1468514097.705842,empatica,0.796911
19,03,1468514098.502753,empatica,0.796911
19,03,1468514099.284039,empatica,0.781286
19,03,1468514100.096576,empatica,0.812537
19,03,1468514100.893488,empatica,0.796911
19,03,1468514101.690399,empatica,0.796911
19,03,1468514102.440434,empatica,0.750034
19,03,1468514103.190468,empatica,0.750034
19,03,1468514103.924877,empatica,0.734409
19,03,1468514104.659285,empatica,0.734409
19,03,1468514105.393694,empatica,0.734409
19,03,1468514106.174980,empatica,0.781286
19,03,1468514106.956265,empatica,0.781286
19,03,1468514107.768803,empatica,0.812537
19,03,1468514108.581340,empatica,0.812537
19,03,1468514109.409503,empatica,0.828163
19,03,1468514110.268917,empatica,0.859414
19,03,1468514111.097080,empatica,0.828163
19,03,1468514111.909617,empatica,0.812537
19,03,1468514112.753406,empatica,0.843789
19,03,1468514113.472189,empatica,0.718783
19,03,1468514114.237849,empatica,0.765660
19,03,1468514115.019135,empatica,0.781286
19,03,1468514115.769169,empatica,0.750034
19,03,1468514116.472326,empatica,0.703157
19,03,1468514117.206735,empatica,0.734409
19,03,1468514117.988020,empatica,0.781286
19,03,1468514124.707078,empatica,0.625029
19,03,1468514125.378984,empatica,0.671906
19,03,1468514126.113392,empatica,0.734409
19,03,1468514126.894678,empatica,0.781286
19,03,1468514127.660338,empatica,0.765660
19,03,1468514128.441624,empatica,0.781286
19,03,1468514129.097904,empatica,0.656280
19,03,1468514144.551736,empatica,0.718783
19,03,1468514145.317396,empatica,0.765660
19,03,1468514146.145559,empatica,0.828163
19,03,1468514146.973722,empatica,0.828163
19,03,1468514147.801885,empatica,0.828163
19,03,1468514148.630048,empatica,0.828163
19,03,1468514149.426960,empatica,0.796911
19,03,1468514150.161368,empatica,0.734409
19,03,1468514150.864525,empatica,0.703157
19,03,1468514151.630185,empatica,0.765660
19,03,1468514152.458348,empatica,0.828163
19,03,1468514153.270885,empatica,0.812537
19,03,1468514154.286557,empatica,1.015671
19,03,1468514155.005340,empatica,0.718783
19,03,1468514155.692871,empatica,0.687531
19,03,1468514156.536660,empatica,0.843789
19,03,1468514157.411700,empatica,0.875040
19,03,1468514158.302366,empatica,0.890666
19,03,1468514159.161780,empatica,0.859414
19,03,1468514160.052446,empatica,0.890666
19,03,1468514168.630964,empatica,0.781286
19,03,1468514169.474752,empatica,0.843789
19,03,1468514170.349792,empatica,0.875040
19,03,1468514171.177955,empatica,0.828163
19,03,1468514172.037369,empatica,0.859414
19,03,1468514172.865532,empatica,0.828163
19,03,1468514173.724947,empatica,0.859414
19,03,1468514174.537484,empatica,0.812537
19,03,1468514175.396898,empatica,0.859414
19,03,1468514176.209435,empatica,0.812537
19,03,1468514177.037598,empatica,0.828163
19,03,1468514177.818884,empatica,0.781286
19,03,1468514184.397310,empatica,0.812537
19,03,1468514185.147345,empatica,0.750034
19,03,1468514185.913005,empatica,0.765660
19,03,1468514186.663039,empatica,0.750034
19,03,1468514187.475576,empatica,0.812537
19,03,1468514188.288113,empatica,0.812537
19,03,1468514189.116276,empatica,0.828163
19,03,1468514189.944439,empatica,0.828163
19,03,1468514190.756976,empatica,0.812537
19,03,1468514191.569514,empatica,0.812537
19,03,1468514192.382051,empatica,0.812537
19,03,1468514193.178962,empatica,0.796911
19,03,1468514193.975874,empatica,0.796911
19,03,1468514194.788411,empatica,0.812537
19,03,1468514195.569697,empatica,0.781286
19,03,1468514196.382234,empatica,0.812537
19,03,1468514197.101017,empatica,0.718783
19,03,1468514197.882303,empatica,0.781286
19,03,1468514198.585460,empatica,0.703157
19,03,1468514205.601406,empatica,0.781286
19,03,1468514206.460820,empatica,0.859414
19,03,1468514223.899118,empatica,0.781286
19,03,1468514224.649153,empatica,0.750034
19,03,1468514225.352310,empatica,0.703157
